id,name,role,country,term,source
pep_0001,Layla Wilson,Minister of Finance,CA,2018-Present,synthetic PEP list
pep_0002,Ananya Tanaka,State-owned enterprise executive,JP,2024-Present,synthetic PEP list
pep_0003,Camila Desai,Senior military officer,CA,2021-Present,synthetic PEP list
pep_0004,Mira Smith,Central bank official,SG,2016-Present,synthetic PEP list
pep_0005,Daniel Hussain,Senior military officer,CA,2019-Present,synthetic PEP list
pep_0006,Vihaan Thomas,Senior judge,SG,2015-Present,synthetic PEP list
pep_0007,Kabir Kapoor,State-owned enterprise executive,SG,2016-Present,synthetic PEP list
pep_0008,Ahmed Sharma,Senior judge,CA,2024-Present,synthetic PEP list
pep_0009,Wei Chatterjee,State-owned enterprise executive,SG,2015-Present,synthetic PEP list
pep_0010,Arjun Ghosh,Head of state,IN,2016-Present,synthetic PEP list
pep_0011,Diya Khan,Minister of Finance,IN,2020-Present,synthetic PEP list
pep_0012,Diego Garcia,Head of state,NL,2024-Present,synthetic PEP list
pep_0013,Sofia Verma,Minister of Finance,MU,2019-Present,synthetic PEP list
pep_0014,Siddharth Ali,Minister of Finance,AE,2023-Present,synthetic PEP list
pep_0015,Karan White,Minister of Finance,CA,2015-Present,synthetic PEP list
pep_0016,Arjun Jackson,Head of state,SG,2015-Present,synthetic PEP list
pep_0017,Omar Miller,Member of parliament,SG,2019-Present,synthetic PEP list
pep_0018,Yuki Johnson,Head of state,US,2023-Present,synthetic PEP list
pep_0019,Naina Chopra,Minister of Finance,LU,2021-Present,synthetic PEP list
pep_0020,Ethan Johnson,Member of parliament,LU,2019-Present,synthetic PEP list
pep_0021,Ahmed Sharma,Central bank official,CA,2017-Present,synthetic PEP list
pep_0022,Kavya Wang,Member of parliament,LU,2022-Present,synthetic PEP list
pep_0023,John Ali,Minister of Finance,CA,2018-Present,synthetic PEP list
pep_0024,Raj Ghosh,Head of state,CA,2015-Present,synthetic PEP list
pep_0025,Naina Iyer,Senior military officer,DE,2017-Present,synthetic PEP list
pep_0026,Daniel Ali,Senior military officer,MU,2023-Present,synthetic PEP list
pep_0027,David Sato,Central bank official,JP,2017-Present,synthetic PEP list
pep_0028,Meera Hussain,Central bank official,SG,2020-Present,synthetic PEP list
pep_0029,Kavya Nair,Senior judge,AE,2018-Present,synthetic PEP list
pep_0030,Kavya Johnson,Senior military officer,MU,2022-Present,synthetic PEP list
pep_0031,Kabir Moore,Central bank official,SG,2021-Present,synthetic PEP list
pep_0032,Hiro Chen,Central bank official,NL,2022-Present,synthetic PEP list
pep_0033,Ethan Smith,Senior military officer,SG,2021-Present,synthetic PEP list
pep_0034,Wei Hussain,Senior judge,FR,2021-Present,synthetic PEP list
pep_0035,Olivia Agarwal,Head of state,CA,2016-Present,synthetic PEP list
pep_0036,Saanvi Sharma,Minister of Finance,SG,2018-Present,synthetic PEP list
pep_0037,John Williams,Member of parliament,MU,2019-Present,synthetic PEP list
pep_0038,Aarav Miller,Head of state,IN,2022-Present,synthetic PEP list
pep_0039,Advait White,State-owned enterprise executive,IN,2024-Present,synthetic PEP list
pep_0040,Ethan White,Central bank official,MU,2017-Present,synthetic PEP list
pep_0041,Chen Das,Senior judge,NL,2015-Present,synthetic PEP list
pep_0042,Tara Johnson,Central bank official,LU,2015-Present,synthetic PEP list
pep_0043,Mei Moore,Senior military officer,SG,2017-Present,synthetic PEP list
pep_0044,Diya Moore,Senior judge,CA,2020-Present,synthetic PEP list
pep_0045,Ritika Wilson,Head of state,JP,2017-Present,synthetic PEP list
pep_0046,Lucas Das,Member of parliament,US,2021-Present,synthetic PEP list
pep_0047,Lakshmi Wang,Member of parliament,DE,2015-Present,synthetic PEP list
pep_0048,Priya Singh,Senior military officer,SG,2019-Present,synthetic PEP list
pep_0049,Diego Verma,Head of state,SG,2022-Present,synthetic PEP list
pep_0050,Diego Moore,Minister of Finance,IN,2015-Present,synthetic PEP list
pep_0051,Meera Garcia,Head of state,SG,2015-Present,synthetic PEP list
pep_0052,Emily Das,Senior judge,AE,2017-Present,synthetic PEP list
pep_0053,Michael Hussain,Minister of Finance,IN,2021-Present,synthetic PEP list
pep_0054,Aarav Reddy,Minister of Finance,FR,2019-Present,synthetic PEP list
pep_0055,Sneha Jackson,State-owned enterprise executive,LU,2015-Present,synthetic PEP list
pep_0056,Diego Chopra,Member of parliament,MU,2023-Present,synthetic PEP list
pep_0057,Michael Jackson,Head of state,GB,2018-Present,synthetic PEP list
pep_0058,Meera Hussain,Head of state,JP,2019-Present,synthetic PEP list
pep_0059,Daniel Brown,Senior military officer,CA,2024-Present,synthetic PEP list
pep_0060,Zoya Ghosh,Head of state,US,2019-Present,synthetic PEP list
pep_0061,Nikhil Kapoor,Minister of Finance,SG,2015-Present,synthetic PEP list
pep_0062,Diego Hussain,Senior judge,JP,2017-Present,synthetic PEP list
pep_0063,Wei Agarwal,Member of parliament,DE,2020-Present,synthetic PEP list
pep_0064,Diya Verma,Member of parliament,GB,2020-Present,synthetic PEP list
pep_0065,Siddharth Garcia,Senior military officer,GB,2024-Present,synthetic PEP list
pep_0066,Anika Jackson,Minister of Finance,AE,2015-Present,synthetic PEP list
pep_0067,Ahmed Williams,Senior military officer,GB,2023-Present,synthetic PEP list
pep_0068,Yash Nair,Senior military officer,LU,2020-Present,synthetic PEP list
pep_0069,Kabir Khan,Member of parliament,AE,2022-Present,synthetic PEP list
pep_0070,Manish Johnson,Member of parliament,LU,2020-Present,synthetic PEP list
pep_0071,Aarav Mehta,Central bank official,SG,2023-Present,synthetic PEP list
pep_0072,Manish Thomas,Senior judge,FR,2021-Present,synthetic PEP list
pep_0073,Yuki Chen,Senior judge,SG,2016-Present,synthetic PEP list
pep_0074,Arjun Rao,Head of state,GB,2024-Present,synthetic PEP list
pep_0075,Dev Chen,Senior military officer,AE,2020-Present,synthetic PEP list
pep_0076,Tara Das,Central bank official,CA,2020-Present,synthetic PEP list
pep_0077,Zoya Singh,Central bank official,JP,2019-Present,synthetic PEP list
pep_0078,Meera Williams,Senior judge,SG,2016-Present,synthetic PEP list
pep_0079,Zoya Kapoor,Central bank official,SG,2017-Present,synthetic PEP list
pep_0080,Aarav Kapoor,Senior military officer,AE,2024-Present,synthetic PEP list
