id,legal_name,jurisdiction,industry,round_invested,amount_invested,currency
pfo_0001,Dynamic Harbor Private Limited,JP,Healthcare,Seed,46000000,USD
pfo_0002,Cascade Lumina Capital,AE,Real estate,Growth,31000000,USD
pfo_0003,Pinnacle Pinnacle Ventures,US,Telecom,Series A,19000000,USD
pfo_0004,Cascade Meridian Capital,LU,Consumer,Seed,8000000,USD
pfo_0005,Orion Harbor Group,IN,Real estate,Seed,19000000,USD
pfo_0006,Apex Meridian Ventures,FR,Energy,Series B,20000000,USD
pfo_0007,Crest Vantage Advisors,AE,Pharmaceuticals,Growth,25000000,USD
pfo_0008,Cascade Atlas Group,MU,Real estate,Series B,37000000,USD
pfo_0009,Meridian Harbor Ventures,MU,Manufacturing,Growth,16000000,USD
pfo_0010,Summit Orion Pte. Ltd.,JP,Technology,Series A,7000000,USD
pfo_0011,Apex Beacon Limited,MU,Infrastructure,Series B,7000000,USD
pfo_0012,Orion Harbor Enterprises,FR,Infrastructure,Series B,2000000,USD
pfo_0013,Zenith Quantum International,US,Manufacturing,Seed,2000000,USD
pfo_0014,Quantum Solstice International,AE,Healthcare,Growth,1000000,USD
pfo_0015,Summit Summit Capital,DE,Technology,Series B,38000000,USD
pfo_0016,Pinnacle Atlas Private Limited,IN,Pharmaceuticals,Series A,60000000,USD
pfo_0017,Dynamic Apex Holdings,MU,Pharmaceuticals,Series B,37000000,USD
pfo_0018,Harbor Cascade Luxembourg S.à r.l.,JP,Technology,Growth,2000000,USD
pfo_0019,Meridian Cascade Private Limited,MU,Real estate,Series A,58000000,USD
pfo_0020,Meridian Beacon Capital,CA,Pharmaceuticals,Growth,14000000,USD
pfo_0021,Vantage Atlas Luxembourg S.à r.l.,JP,Real estate,Growth,50000000,USD
pfo_0022,Cascade Clarity Enterprises,AE,Pharmaceuticals,Growth,49000000,USD
pfo_0023,Quantum Vantage International,GB,Financial services,Growth,36000000,USD
pfo_0024,Atlas Beacon International,DE,Pharmaceuticals,Growth,24000000,USD
pfo_0025,Crest Vertex Enterprises,IN,Financial services,Seed,7000000,USD
